Time,mass_flow_SLPM,abs_pressure_Torr,temperature_C
2026-08-05 17:06:24,0.001,756.072224445677,24.96
2026-08-05 17:06:25,0,756.589373710004,24.96
2026-08-05 17:06:26,0.001,756.072224445677,24.95
2026-08-05 17:06:27,0,756.589373710004,24.95
2026-08-05 17:06:28,0,756.072224445677,24.96
2026-08-05 17:06:29,0,755.55507518135,24.95
2026-08-05 17:06:30,0,756.589373710004,24.95
2026-08-05 17:06:31,0,756.072224445677,24.96
2026-08-05 17:06:32,0,756.589373710004,24.96
2026-08-05 17:06:33,0,756.589373710004,24.96
2026-08-05 17:06:34,0,756.072224445677,24.94
2026-08-05 17:06:35,0,756.072224445677,24.97
2026-08-05 17:06:36,0,756.072224445677,24.94
2026-08-05 17:06:37,0,755.55507518135,24.95
2026-08-05 17:06:38,0.001,756.072224445677,24.95
2026-08-05 17:06:39,0,756.072224445677,24.95
2026-08-05 17:06:40,0,756.589373710004,24.95
2026-08-05 17:06:41,0,756.072224445677,24.96
2026-08-05 17:06:42,0,756.589373710004,24.95
2026-08-05 17:06:43,0,755.55507518135,24.95
2026-08-05 17:06:44,0,755.55507518135,24.96
2026-08-05 17:06:45,0,755.55507518135,24.95
2026-08-05 17:06:46,0,755.55507518135,24.96
2026-08-05 17:06:47,0,756.072224445677,24.95
2026-08-05 17:06:48,0,756.072224445677,24.96
2026-08-05 17:06:49,0,756.072224445677,24.96
2026-08-05 17:06:50,0,756.072224445677,24.95
2026-08-05 17:06:51,0,756.072224445677,24.96
2026-08-05 17:06:52,0,756.072224445677,24.96
2026-08-05 17:06:53,0,756.589373710004,24.96
2026-08-05 17:06:54,0,756.072224445677,24.95
2026-08-05 17:06:55,0,755.55507518135,24.97
2026-08-05 17:06:56,0,756.072224445677,24.96
