3868655368.329000	1.396806
3868655368.829000	1.391735
3868655369.330000	1.396806
3868655369.829000	1.396806
3868655370.330000	1.391735
3868655370.829000	1.396806
3868655371.329000	1.396806
3868655371.829000	1.396806
3868655372.329000	1.396806
3868655372.829000	1.391735
3868655373.329000	1.391735
3868655373.829000	1.391735
3868655374.329000	1.396806
3868655374.830000	1.396806
3868655375.329000	1.396806
3868655375.830000	1.396806
3868655376.330000	1.391735
3868655376.829000	1.391735
3868655377.329000	1.396806
3868655377.829000	1.391735
3868655378.330000	1.391735
3868655378.829000	1.391735
3868655379.329000	1.396806
3868655379.829000	1.396806
3868655380.329000	1.396806
3868655380.829000	1.391735
3868655381.329000	1.396806
3868655381.831000	1.391735
3868655382.329000	1.391735
3868655382.829000	1.396806
3868655383.329000	1.396806
3868655383.829000	1.391735
3868655384.330000	1.396806
3868655384.830000	1.396806
3868655385.330000	1.396806
3868655385.829000	1.391735
3868655386.330000	1.391735
3868655386.829000	1.391735
3868655387.330000	1.391735
3868655387.831000	1.391735
3868655388.329000	1.396806
3868655388.830000	1.396806
3868655389.330000	1.396806
3868655389.830000	1.396806
3868655390.330000	1.391735
3868655390.830000	1.396806
3868655391.330000	1.396806
3868655391.835000	1.396806
3868655392.329000	1.396806
3868655392.830000	1.391735
3868655393.330000	1.396806
3868655393.829000	1.391735
3868655394.330000	1.391735
3868655394.830000	1.391735
3868655395.331000	1.396806
3868655395.830000	1.396806
3868655396.330000	1.396806
3868655396.830000	1.396806
3868655397.455000	1.391735
3868655397.831000	1.396806
3868655398.329000	1.396806
3868655398.829000	1.391735
3868655399.329000	1.396806
3868655399.829000	1.391735
3868655400.331000	1.396806
3868655400.829000	1.396806
3868655401.330000	1.396806
3868655401.831000	1.396806
3868655402.330000	1.391735
3868655402.830000	1.396806
3868655403.330000	1.391735
3868655403.830000	1.391735
3868655404.330000	1.396806
3868655404.829000	1.391735
3868655405.329000	1.396806
3868655405.830000	1.396806
3868655406.332000	1.396806
3868655406.833000	1.391735
3868655407.329000	1.396806
3868655407.829000	1.391735
3868655408.330000	1.396806
3868655408.829000	1.396806
3868655409.329000	1.391735
3868655409.840000	1.396806
3868655410.330000	1.391735
3868655410.830000	1.391735
3868655411.331000	1.396806
3868655411.829000	1.391735
3868655412.329000	1.391735
3868655412.829000	1.396806
3868655413.329000	1.396806
3868655413.829000	1.391735
3868655414.329000	1.396806
3868655414.829000	1.396806
3868655415.329000	1.396806
3868655415.829000	1.396806
3868655416.329000	1.396806
3868655416.829000	1.391735
3868655417.329000	1.391735
3868655417.829000	1.391735
3868655418.329000	1.391735
3868655418.829000	1.396806
3868655419.329000	1.396806
3868655419.829000	1.391735
3868655420.329000	1.396806
3868655420.834000	1.391735
3868655421.329000	1.396806
3868655421.829000	1.391735
3868655422.330000	1.391735
3868655422.830000	1.396806
3868655423.332000	1.391735
3868655423.831000	1.396806
3868655424.331000	1.391735
3868655424.831000	1.396806
3868655425.331000	1.391735
3868655425.832000	1.396806
3868655426.330000	1.396806
3868655426.829000	1.391735
3868655427.331000	1.396806
3868655427.829000	1.391735
3868655428.329000	1.396806
3868655428.829000	1.391735
3868655429.329000	1.396806
3868655429.829000	1.391735
3868655430.330000	1.391735
3868655430.829000	1.391735
3868655431.329000	1.391735
3868655431.829000	1.391735
3868655432.329000	1.391735
3868655432.829000	1.396806
3868655433.329000	1.391735
3868655433.829000	1.391735
3868655434.329000	1.391735
3868655434.829000	1.391735
3868655435.331000	1.391735
3868655435.829000	1.391735
3868655436.329000	1.391735
3868655436.829000	1.391735
3868655437.329000	1.391735
3868655437.829000	1.391735
3868655438.329000	1.391735
3868655438.829000	1.391735
3868655439.329000	1.396806
3868655439.830000	1.391735
3868655440.336000	1.396806
3868655440.832000	1.396806
3868655441.331000	1.396806
3868655441.830000	1.396806
3868655442.329000	1.396806
3868655442.829000	1.396806
3868655443.330000	1.391735
3868655443.830000	1.396806
3868655444.330000	1.391735
3868655444.830000	1.396806
3868655445.331000	1.391735
3868655445.829000	1.391735
3868655446.329000	1.396806
3868655446.829000	1.396806
3868655447.329000	1.391735
3868655447.832000	1.396806
3868655448.331000	1.396806
3868655448.830000	1.396806
3868655449.329000	1.396806
3868655449.830000	1.396806
3868655450.330000	1.391735
3868655450.829000	1.391735
3868655451.329000	1.396806
3868655451.830000	1.391735
3868655452.332000	1.391735
3868655452.831000	1.391735
3868655453.329000	1.391735
3868655453.830000	1.396806
3868655454.332000	1.391735
3868655454.830000	1.391735
3868655455.331000	1.391735
3868655455.832000	1.391735
3868655456.329000	1.396806
3868655456.831000	1.396806
3868655457.330000	1.391735
3868655457.830000	1.396806
3868655458.330000	1.391735
3868655458.831000	1.396806
3868655459.331000	1.396806
3868655459.829000	1.391735
3868655460.330000	1.396806
3868655460.830000	1.396806
3868655461.331000	1.396806
3868655461.830000	1.396806
3868655462.329000	1.391735
3868655462.829000	1.396806
3868655463.329000	1.391735
3868655463.830000	1.391735
3868655464.331000	1.391735
3868655464.829000	1.391735
3868655465.329000	1.391735
3868655465.829000	1.396806
3868655466.332000	1.396806
3868655466.829000	1.396806
3868655467.329000	1.396806
3868655467.829000	1.391735
3868655468.330000	1.396806
3868655468.829000	1.396806
3868655469.329000	1.391735
3868655469.830000	1.391735
3868655470.332000	1.391735
