timestamp,fec,hyb,vmm,temperature
2026-07-09 10:31:32,0,0,0,28.1081
2026-07-09 10:31:32,0,0,1,24.3243
2026-07-09 10:31:32,0,1,0,29.7297
2026-07-09 10:31:32,0,1,1,28.1081
2026-07-09 10:31:32,0,2,0,29.1892
2026-07-09 10:31:32,0,2,1,26.4865
2026-07-09 10:31:32,0,3,0,29.1892
2026-07-09 10:31:32,0,3,1,24.3243
2026-07-09 10:31:32,0,4,0,29.1892
2026-07-09 10:31:32,0,4,1,28.1081
2026-07-09 10:31:32,0,5,0,29.7297
2026-07-09 10:31:32,0,5,1,28.6486
2026-07-09 10:31:32,0,6,0,28.6486
2026-07-09 10:31:32,0,6,1,24.8649
2026-07-09 10:31:32,0,7,0,34.5946
2026-07-09 10:31:32,0,7,1,30.2703
2026-07-09 10:31:34,0,0,0,28.1081
2026-07-09 10:31:34,0,0,1,24.3243
2026-07-09 10:31:34,0,1,0,29.7297
2026-07-09 10:31:34,0,1,1,28.1081
2026-07-09 10:31:34,0,2,0,29.1892
2026-07-09 10:31:34,0,2,1,26.4865
2026-07-09 10:31:34,0,3,0,29.1892
2026-07-09 10:31:34,0,3,1,24.3243
2026-07-09 10:31:34,0,4,0,28.6486
2026-07-09 10:31:34,0,4,1,28.1081
2026-07-09 10:31:34,0,5,0,29.7297
2026-07-09 10:31:34,0,5,1,28.6486
2026-07-09 10:31:34,0,6,0,28.6486
2026-07-09 10:31:34,0,6,1,24.8649
2026-07-09 10:31:34,0,7,0,34.5946
2026-07-09 10:31:34,0,7,1,30.2703
2026-07-09 10:31:36,0,0,0,28.1081
2026-07-09 10:31:36,0,0,1,24.3243
2026-07-09 10:31:36,0,1,0,29.7297
2026-07-09 10:31:36,0,1,1,28.1081
2026-07-09 10:31:36,0,2,0,29.1892
2026-07-09 10:31:36,0,2,1,26.4865
2026-07-09 10:31:36,0,3,0,29.1892
2026-07-09 10:31:36,0,3,1,24.3243
2026-07-09 10:31:36,0,4,0,29.1892
2026-07-09 10:31:36,0,4,1,28.1081
2026-07-09 10:31:36,0,5,0,29.7297
2026-07-09 10:31:36,0,5,1,28.6486
2026-07-09 10:31:36,0,6,0,28.6486
2026-07-09 10:31:36,0,6,1,24.8649
2026-07-09 10:31:36,0,7,0,34.5946
2026-07-09 10:31:36,0,7,1,30.2703
2026-07-09 10:31:38,0,0,0,27.5676
2026-07-09 10:31:38,0,0,1,24.3243
2026-07-09 10:31:38,0,1,0,29.7297
2026-07-09 10:31:38,0,1,1,28.1081
2026-07-09 10:31:38,0,2,0,29.1892
2026-07-09 10:31:38,0,2,1,26.4865
2026-07-09 10:31:38,0,3,0,29.1892
2026-07-09 10:31:38,0,3,1,24.3243
2026-07-09 10:31:38,0,4,0,29.1892
2026-07-09 10:31:38,0,4,1,28.1081
2026-07-09 10:31:38,0,5,0,29.7297
2026-07-09 10:31:38,0,5,1,28.6486
2026-07-09 10:31:38,0,6,0,28.6486
2026-07-09 10:31:38,0,6,1,24.8649
2026-07-09 10:31:38,0,7,0,34.5946
2026-07-09 10:31:38,0,7,1,30.2703
2026-07-09 10:31:40,0,0,0,27.5676
2026-07-09 10:31:40,0,0,1,24.3243
2026-07-09 10:31:40,0,1,0,29.7297
2026-07-09 10:31:40,0,1,1,28.1081
2026-07-09 10:31:40,0,2,0,29.1892
2026-07-09 10:31:40,0,2,1,26.4865
2026-07-09 10:31:40,0,3,0,29.1892
2026-07-09 10:31:40,0,3,1,24.3243
2026-07-09 10:31:40,0,4,0,29.1892
2026-07-09 10:31:40,0,4,1,28.1081
2026-07-09 10:31:40,0,5,0,29.7297
2026-07-09 10:31:40,0,5,1,28.6486
2026-07-09 10:31:40,0,6,0,28.6486
2026-07-09 10:31:40,0,6,1,24.8649
2026-07-09 10:31:40,0,7,0,34.5946
2026-07-09 10:31:40,0,7,1,30.2703
2026-07-09 10:31:42,0,0,0,27.5676
2026-07-09 10:31:42,0,0,1,24.3243
2026-07-09 10:31:42,0,1,0,29.7297
2026-07-09 10:31:42,0,1,1,28.1081
2026-07-09 10:31:42,0,2,0,29.1892
2026-07-09 10:31:42,0,2,1,26.4865
2026-07-09 10:31:42,0,3,0,29.1892
2026-07-09 10:31:42,0,3,1,24.3243
2026-07-09 10:31:42,0,4,0,28.6486
2026-07-09 10:31:42,0,4,1,28.1081
2026-07-09 10:31:42,0,5,0,29.7297
2026-07-09 10:31:42,0,5,1,28.6486
2026-07-09 10:31:42,0,6,0,28.1081
2026-07-09 10:31:42,0,6,1,24.8649
2026-07-09 10:31:42,0,7,0,34.5946
2026-07-09 10:31:42,0,7,1,30.2703
2026-07-09 10:31:44,0,0,0,27.5676
2026-07-09 10:31:44,0,0,1,24.3243
2026-07-09 10:31:44,0,1,0,29.7297
2026-07-09 10:31:44,0,1,1,28.1081
2026-07-09 10:31:44,0,2,0,29.1892
2026-07-09 10:31:44,0,2,1,26.4865
2026-07-09 10:31:44,0,3,0,29.1892
2026-07-09 10:31:44,0,3,1,24.3243
2026-07-09 10:31:44,0,4,0,29.1892
2026-07-09 10:31:44,0,4,1,28.1081
2026-07-09 10:31:44,0,5,0,29.7297
2026-07-09 10:31:44,0,5,1,28.1081
2026-07-09 10:31:44,0,6,0,28.6486
2026-07-09 10:31:44,0,6,1,24.8649
2026-07-09 10:31:44,0,7,0,34.5946
2026-07-09 10:31:44,0,7,1,30.2703
2026-07-09 10:31:46,0,0,0,27.5676
2026-07-09 10:31:46,0,0,1,24.3243
2026-07-09 10:31:46,0,1,0,29.7297
2026-07-09 10:31:46,0,1,1,28.1081
2026-07-09 10:31:46,0,2,0,29.1892
2026-07-09 10:31:46,0,2,1,26.4865
2026-07-09 10:31:46,0,3,0,29.1892
2026-07-09 10:31:46,0,3,1,24.3243
2026-07-09 10:31:46,0,4,0,28.6486
2026-07-09 10:31:46,0,4,1,28.1081
2026-07-09 10:31:46,0,5,0,29.7297
2026-07-09 10:31:46,0,5,1,28.6486
2026-07-09 10:31:46,0,6,0,28.1081
2026-07-09 10:31:46,0,6,1,24.8649
2026-07-09 10:31:46,0,7,0,34.5946
2026-07-09 10:31:46,0,7,1,30.2703
2026-07-09 10:31:48,0,0,0,27.5676
2026-07-09 10:31:48,0,0,1,24.3243
2026-07-09 10:31:48,0,1,0,29.7297
2026-07-09 10:31:48,0,1,1,28.1081
2026-07-09 10:31:48,0,2,0,29.1892
2026-07-09 10:31:48,0,2,1,26.4865
2026-07-09 10:31:48,0,3,0,29.1892
2026-07-09 10:31:48,0,3,1,24.3243
2026-07-09 10:31:48,0,4,0,28.6486
2026-07-09 10:31:48,0,4,1,28.1081
